"var_name","var_type","unique_count","missing_perc","zero_perc","most_common_five_non_NA","mean","min","Q1","median","Q3","max","sd"
"F2EDU8","numeric","2","0","97.66","0","0.023","0","0","0","0","1","0.151"
"F2ENV1","numeric","2","0","91.95","0","0.081","0","0","0","0","1","0.272"
"F2ENV2","numeric","2","0","53.78","0","0.462","0","0","0","1","1","0.499"
"F2ENV8","numeric","2","0","97.66","0","0.023","0","0","0","0","1","0.151"
"bach_rec","numeric","2","0","37.25","0","0.627","0","0","1","1","1","0.484"
"","","0","0","0","0","0","0","0","0","0","0","0"
"unit of observation:","","0","0","0","0","0","0","0","0","0","0","0"
"number of observations:","6158","0","0","0","0","0","0","0","0","0","0","0"
"number of /:","6158","0","0","0","0","0","0","0","0","0","0","0"
"earliest_date:","0","0","0","0","0","0","0","0","0","0","0","0"
"latest_date:","0","0","0","0","0","0","0","0","0","0","0","0"
"var_count:","489","0","0","0","0","0","0","0","0","0","0","0"
"% of observations missing:","0","0","0","0","0","0","0","0","0","0","0","0"
